instrumento,simbolo,descripcion,mercado,panel,ultimoPrecio,apertura,cierreAnterior,variacionDiaria,volumen,maximo,minimo,rango52SemanasMin,rango52SemanasMax,fechaHoraCotizacion,mepCclImplicito,fuente
"cedears","METAD","Cedear Facebook, Inc.","bcba",,"29.4","28.49","29.4","3.12","0","29.47","28.31",,,"2026-04-24T19:59:57.263Z","1432.6531","/1/Titulos/METAD/CotizacionDetalle"
"cedears","MFG","Cedear Mizuho Financial Group","bcba",,"11980","11950","11980","-0.49","0","11950","11940",,,"2026-04-24T15:18:57.573Z",,"/1/Titulos/MFG/CotizacionDetalle"
"cedears","MGLU3","Cedear Magazine Luiza S.A.","bcba",,"2530","2495","2530","-1.17","0","2585","2495",,,"2026-04-24T17:16:46.933Z",,"/1/Titulos/MGLU3/CotizacionDetalle"
"cedears","MMM","Cedear 3 M Company","bcba",,"21770","21400","21770","1.58","0","21820","21400",,,"2026-04-24T19:55:39.263Z","1459.1153","/1/Titulos/MMM/CotizacionDetalle"
"cedears","MMMC","Cedear 3 M Company","bcba",,"14.55","16.192","14.55","-10.14","0","0","0",,,"2026-04-24T17:52:03.020Z","1459.1153","/1/Titulos/MMMC/CotizacionDetalle"
"cedears","MMMD","Cedear 3 M Company","bcba",,"14.92","14.93","14.92","-3.61","0","15.32","14.92",,,"2026-04-24T19:58:27.323Z","1459.1153","/1/Titulos/MMMD/CotizacionDetalle"
"cedears","MO","Cedear Altria Group Inc.","bcba",,"24970","24690","24970","0.44","0","25120","24610",,,"2026-04-24T19:59:07.380Z","1448.3759","/1/Titulos/MO/CotizacionDetalle"
"cedears","MOC","Cedear Altria Group Inc.","bcba",,"16.56","16.7","16.56","-0.83","0","0","0",,,"2026-04-24T13:34:01.300Z","1448.3759","/1/Titulos/MOC/CotizacionDetalle"
"cedears","MOD","Cedear Altria Group Inc.","bcba",,"17.24","17.6","17.24","-1.26","0","17.77","17.27",,,"2026-04-24T19:21:47.810Z","1448.3759","/1/Titulos/MOD/CotizacionDetalle"
"cedears","MOS","Cedear The Mosaic Co","bcba",,"7160","7120","7160","0.06","0","7190","6990",,,"2026-04-24T19:42:03.657Z","1432","/1/Titulos/MOS/CotizacionDetalle"
"cedears","MOSD","Cedear The Mosaic Co","bcba",,"5","4.99","5","0.3","0","5","4.955",,,"2026-04-24T19:33:45.460Z","1432","/1/Titulos/MOSD/CotizacionDetalle"
"cedears","MRK","Cedear Merck & Co Inc.","bcba",,"33460","33640","33460","-1.35","0","34300","33220",,,"2026-04-24T19:57:37.150Z","1442.2414","/1/Titulos/MRK/CotizacionDetalle"
"cedears","MRKC","Cedear Merck & Co Inc.","bcba",,"22","22","22","0","0","0","0",,,"2026-04-24T04:01:00.340Z","1442.2414","/1/Titulos/MRKC/CotizacionDetalle"
"cedears","MRKD","Cedear Merck & Co Inc.","bcba",,"23.2","24.21","23.2","-2.88","0","24.24","23.16",,,"2026-04-24T19:55:46.277Z","1442.2414","/1/Titulos/MRKD/CotizacionDetalle"
"cedears","MRNA","Cedear Moderna Inc.","bcba",,"3990","4115","3990","-2.68","0","4142.5","3957.5",,,"2026-04-24T19:57:39.723Z","1435.2518","/1/Titulos/MRNA/CotizacionDetalle"
"cedears","MRNAC","Cedear Moderna Inc.","bcba",,"2.49","2.49","2.49","0","0","0","0",,,"2026-04-24T04:01:08.937Z","1435.2518","/1/Titulos/MRNAC/CotizacionDetalle"
"cedears","MRNAD","Cedear Moderna Inc.","bcba",,"2.78","2.855","2.78","-5.92","0","2.89","2.795",,,"2026-04-24T19:37:59.800Z","1435.2518","/1/Titulos/MRNAD/CotizacionDetalle"
"cedears","MRSH","Cedears Marsh","bcba",,"15900","16070","15900","-1.11","0","16070","15890",,,"2026-04-24T19:54:15.520Z",,"/1/Titulos/MRSH/CotizacionDetalle"
"cedears","MRVL","Cedear Marvell Technology Inc","bcba",,"18000","18000","18000","3.56","0","18270","16780",,,"2026-04-24T19:59:59.577Z","1469.3878","/1/Titulos/MRVL/CotizacionDetalle"
"cedears","MRVLD","Cedear Marvell Technology Inc","bcba",,"12.25","12.47","12.25","0.4","0","12.58","11.67",,,"2026-04-24T19:54:38.977Z","1469.3878","/1/Titulos/MRVLD/CotizacionDetalle"
"cedears","MSFT","Cedear Microsoft Corp.","bcba",,"21190","20500","21190","3.36","0","21210","20500",,,"2026-04-24T19:59:59.927Z","1439.538","/1/Titulos/MSFT/CotizacionDetalle"
"cedears","MSFTC","Cedear Microsoft Corp.","bcba",,"14.26","14.02","14.26","2.81","0","14.21","13.96",,,"2026-04-24T18:44:22.610Z","1439.538","/1/Titulos/MSFTC/CotizacionDetalle"
"cedears","MSFTD","Cedear Microsoft Corp.","bcba",,"14.72","14.69","14.72","1.93","0","14.74","14.4",,,"2026-04-24T19:58:15.793Z","1439.538","/1/Titulos/MSFTD/CotizacionDetalle"
"cedears","MSI","Cedear Motorola Inc. Escrit.","bcba",,"32860","32740","32860","0.48","0","32800","32400",,,"2026-04-24T19:57:27.283Z",,"/1/Titulos/MSI/CotizacionDetalle"
"cedears","MSTR","Cedear Microstrategy Inc","bcba",,"12770","13100","12770","0.31","0","13120","12590",,,"2026-04-24T19:59:49.317Z","1434.8315","/1/Titulos/MSTR/CotizacionDetalle"
"cedears","MSTRC","Cedear Microstrategy Inc","bcba",,"8.5","8.52","8.5","-3.51","0","8.55","8.52",,,"2026-04-24T16:22:07.793Z","1434.8315","/1/Titulos/MSTRC/CotizacionDetalle"
"cedears","MSTRD","Cedear Microstrategy Inc","bcba",,"8.9","9.1","8.9","-0.66","0","9.1","8.8",,,"2026-04-24T19:53:54.150Z","1434.8315","/1/Titulos/MSTRD/CotizacionDetalle"
"cedears","MU","Cedear Micron Technology Inc","bcba",,"148700","147700","148700","5.31","0","150925","145500",,,"2026-04-24T19:59:34.097Z","1443.6893","/1/Titulos/MU/CotizacionDetalle"
"cedears","MUC","Cedear Micron Technology Inc","bcba",,"99.5","99.8","99.5","4.84","0","99.8","99.3",,,"2026-04-24T19:33:36.197Z","1443.6893","/1/Titulos/MUC/CotizacionDetalle"
"cedears","MUD","Cedear Micron Technology Inc","bcba",,"103","102","103","3.51","0","105","101.5",,,"2026-04-24T19:58:54.963Z","1443.6893","/1/Titulos/MUD/CotizacionDetalle"
"cedears","MUFG","Cedear Mitsubishi Ufj Financia","bcba",,"25860","25660","25860","1.09","0","25880","25660",,,"2026-04-24T19:53:41.610Z","1456.9014","/1/Titulos/MUFG/CotizacionDetalle"
"cedears","MUFGD","Cedear Mitsubishi Ufj Financia","bcba",,"17.75","17.75","17.75","0","0","0","0",,,"2026-04-24T04:00:36.120Z","1456.9014","/1/Titulos/MUFGD/CotizacionDetalle"
"cedears","MUX","Cedear Mcewen Mining Inc","bcba",,"18100","17360","18100","2.54","0","18090","17360",,,"2026-04-24T19:59:53.067Z","1442.2311","/1/Titulos/MUX/CotizacionDetalle"
"cedears","MUXC","Cedear Mcewen Mining Inc","bcba",,"13.51","13.51","13.51","0","0","0","0",,,"2026-04-24T04:01:09.267Z","1442.2311","/1/Titulos/MUXC/CotizacionDetalle"
"cedears","MUXD","Cedear Mcewen Mining Inc","bcba",,"12.55","12.2","12.55","-4.05","0","12.55","12.2",,,"2026-04-24T17:55:22.860Z","1442.2311","/1/Titulos/MUXD/CotizacionDetalle"
"cedears","NAT3D","Cedear Natura Cosmeticos Sa","bcba",,"1.7","1.7","1.7","0","0","0","0",,,"2026-04-24T04:00:52.523Z",,"/1/Titulos/NAT3D/CotizacionDetalle"
"cedears","NATU3","Cedear Natura Cosmeticos Sa","bcba",,"2990","2935","2990","0.84","0","3075","2935",,,"2026-04-24T19:28:11.493Z",,"/1/Titulos/NATU3/CotizacionDetalle"
"cedears","NEM","Cedear Neyymont Mining Corp.","bcba",,"60125","57625","60125","10.72","0","60200","57475",,,"2026-04-24T19:57:39.807Z","1476.9099","/1/Titulos/NEM/CotizacionDetalle"
"cedears","NEMD","Cedear Neyymont Mining Corp.","bcba",,"40.71","40.82","40.71","4.41","0","41.43","40.01",,,"2026-04-24T19:32:56.023Z","1476.9099","/1/Titulos/NEMD/CotizacionDetalle"
